s_id,w_id,word,nertag
42,2,naomi,O
42,3,watts,O
42,4,is,O
42,5,beautiful,O
42,6,until,O
42,7,she,O
42,8,starts,O
42,9,talking,O
43,0,Tom,P
43,1,Hardy,P
43,2,has,O
43,3,dropped,O
43,4,out,O
43,5,of,O
43,6,Suicide,O
43,7,Squad,O
43,8,due,O
43,9,to,O
43,10,scheduling,O
44,0,elba,O
44,1,would,O
44,2,be,O
44,3,a,O
44,4,fantastic,O
44,5,bond,O
44,6,but,O
44,7,i,O
44,8,fear,O
44,9,it,O
44,10,'s,O
44,11,too,O
44,12,late,O
44,13,in,O
44,14,the,O
44,15,game,O
45,0,Jake,P
45,1,Gyllenhaal,P
45,2,is,O
45,3,rumored,O
45,4,to,O
45,5,replace,O
