s_id,sentence,s1,s2,s3,s4
66,Al Pacino,71,,,
67,Robert De Niro,4,,,
68,Marlon Brando,168,,,
69,Jack Nicholson,45,,,
70,James Stewart,12,,,
71,"Edward Norton is a brilliant actor, and often misunderstood",466,,,
72,"I would pay to see any movie either made or starring Robert Redford, Clint Eastwood , Mel Gibson or Russel Crowe",69,2,107,251
73,"Thinking from the top of my head, I'd go for Will Ferrell",292,,,
74,I'll see anything Alfred Hitchcock acts in,50,,,
75,"Maybe it is, but James Stewart is too good for me to give a damn",12,,,
76,"I would've said James Stewart, but I thought this was only for actors that were alive",12,,,
77,"Brad Pitt can't pull off an Irish accent, which ruined the entire movie for me",117,,,
78,"I used to buy everything with Adam Sandler, but I really can't enjoy the humor to the same degree as I could before",204,,,
79,I'm just going to say Daniel Auteuil because he's my favourite,2548,,,
80,I much prefer that to the exact same threads being made every week,,,,
81,Tom Hardy may be sneaking onto the list as well,1010,,,
82,"For some reason it's Nicolas Cage, although he's not my favorite",7,,,
83,I think Sam Rockwell and Luke Wilson fall in that category too,219,576,,
84,It's a great show. If I could find it in better quality,,,,
85,Nice to see some love for Richard Jenkins,907,,,
86,I have to admit that I'll watch Will Ferrell in anything,292,,,
87,I must mention Michael Shannon,1096,,,
88,I would go see Colin Morgan in almost everything,,,,
89,"He's got a good face, Larry Gates",11990,,,
90,"Kristy Swanson has always had large, um, assets",1315,,,
91,"Phoebe Cates is the hottest so far, for sure",1857,,,
92,Ashley Judd was quite in demand back in the 90s,458,,,
93,One of my favorite Hugh Jackman romance movies she was in,442,,,
94,I thought they missed the boat not casting Pierce Brosnan or Hugh Jackman,442,170,,
95,Teri Hatcher was nice back in the day,2840,,,
96,They should have got Monica Bellucci for Tomorrow Never Dies,1164,,,
97,Rose Byrne's a great choice,647,,,
98,I only know of The Gilmore Girls because of Lauren Graham,1639,,,
99,Now Heather Graham is as hot as hell,236,,,
100,"I think Ray Liotta should be higher, the more I look at her the more I see how hot she is",155,,,
